,IsRecentlyVerified,DateLastVerified,AddressInfo.ID,Address,Town/City,Postcode,Latitude,Longitude,slider_number,geometry,Provincie
0,True,2022-10-10T19:59:00Z,207791,4 Einsteinstraat,Haarlem,2014KS,52.36773974028,4.612164531240637,1,POINT (4.612164531240637 52.36773974028),Noord-Holland
1,True,2022-10-10T20:18:00Z,207318,Johanna's weg,,1901 NX,52.561055179424045,4.636920323230129,2,POINT (4.636920323230129 52.56105517942405),Noord-Holland
2,True,2022-10-03T12:10:00Z,205203,Shakespeareplein,Utrecht,3533 DA,52.08895364636104,5.090074939815168,3,POINT (5.090074939815167 52.08895364636103),Utrecht
3,True,2022-10-02T11:45:00Z,204695,Parallelweg,,1948 NV,52.48018978217911,4.666021248274205,4,POINT (4.666021248274205 52.48018978217911),Noord-Holland
4,True,2022-09-12T09:24:00Z,202867,Nieuwe Kerksplein 16,Haarlem,2011 ZT,52.37749070088256,4.629442271028097,5,POINT (4.629442271028097 52.37749070088256),Noord-Holland
5,True,2022-09-07T18:21:00Z,202488,Stephensonstraat 39,Haarlem,2014 KB,52.369181828691126,4.613651889691823,6,POINT (4.613651889691823 52.36918182869113),Noord-Holland
6,True,2022-09-04T11:17:00Z,201847,Robijnstraat,Leiden,2332JL,52.15618310880117,4.463912704653239,7,POINT (4.463912704653239 52.15618310880117),Zuid-Holland
7,True,2022-09-04T11:18:00Z,201846,7 Carneoolstraat,Leiden,2332KA,52.1546048796059,4.460548931738117,8,POINT (4.460548931738117 52.1546048796059),Zuid-Holland
8,True,2022-09-08T15:21:00Z,201664,Stephensonstraat,Haarlem,2014 KD,52.36994650289088,4.614159016727285,9,POINT (4.614159016727285 52.36994650289088),Noord-Holland
9,True,2022-08-28T19:50:00Z,201663,Rutherfordstraat,Haarlem,2014 KA,52.37087620724876,4.614198948038165,10,POINT (4.614198948038165 52.37087620724876),Noord-Holland
10,True,2022-08-12T06:28:00Z,195399,"Rijksweg A2 7, Niebert",Niebert,9365 TK,53.161647,6.292686,11,POINT (6.292686 53.161647),Groningen
11,True,2022-08-08T09:47:00Z,194946,Pijlslaan,Haarlem,2014 TL,52.372003720140015,4.611520743119058,12,POINT (4.611520743119058 52.37200372014001),Noord-Holland
12,True,2022-10-10T11:20:00Z,194942,Twaalfmat,Heemskerk,1967 PV,52.500278047265056,4.702634557778197,13,POINT (4.702634557778197 52.50027804726506),Noord-Holland
13,True,2022-08-09T21:07:00Z,194941,Lorentzkade,Haarlem,2014 CE,52.373997763985926,4.611189696895622,14,POINT (4.611189696895622 52.37399776398593),Noord-Holland
14,True,2022-08-05T21:57:00Z,194929,Botnische golf,Woerden,3446XW,52.07745826113799,4.904246265408801,15,POINT (4.904246265408801 52.07745826113799),Utrecht
15,True,2022-08-03T08:29:00Z,194725,A16 highway2952 AD ,Hendrik-Ido-Ambacht,2952 AD,24.0,4.620008,16,POINT (4.620008 24),
16,True,2022-07-29T15:55:00Z,194724,A16 highway2952 AD ,Hendrik-Ido-Ambacht,2952 AD,51.836003,4.620008,17,POINT (4.620008 51.836003),Zuid-Holland
17,True,2022-07-25T08:55:00Z,194664,Dishoekseweg 28A,Koudekerke,4371 NH,51.47525081439318,3.541423812603057,18,POINT (3.541423812603057 51.47525081439318),Zeeland
18,True,2022-09-06T12:21:00Z,194607,1 Industrieweg,Sittard-Geleen,6163AH,50.98121859293517,5.826535347417348,19,POINT (5.826535347417348 50.98121859293516),Limburg
19,True,2022-08-25T14:53:00Z,194528,Lorentzkade 192,Haarlem,2014 CE,52.37385749804912,4.611194772672775,20,POINT (4.611194772672775 52.37385749804912),Noord-Holland
20,True,2022-07-14T15:29:00Z,194386,Slakweg,Maastricht,6228,50.81612219964967,5.725457854811339,21,POINT (5.725457854811339 50.81612219964967),Limburg
21,True,2022-07-14T12:49:00Z,194347,Klappermanstraat,,5554EM,51.3478214,5.4650453,22,POINT (5.4650453 51.3478214),Noord-Brabant
22,True,2022-09-06T12:21:00Z,194220,Reyerdijk 110,Rotterdam,3079,51.88148057397515,4.542689376008184,23,POINT (4.542689376008184 51.88148057397515),Zuid-Holland
23,True,2022-06-06T12:10:00Z,193738,31 Hoofdstraat,Gorssel,7213CP,52.1982121,6.199734,24,POINT (6.199734 52.1982121),Gelderland
24,True,2022-06-06T08:01:00Z,193734,Tatelaarweg 21,Didam,6941RB,51.93702950683783,6.105900472739108,25,POINT (6.105900472739108 51.93702950683783),Gelderland
25,True,2022-06-06T08:52:00Z,193724,26-t Boschlaan,Oost Gelre,7131RE,52.00790440693911,6.555560897646046,26,POINT (6.555560897646046 52.0079044069391),Gelderland
26,True,2022-05-27T08:53:00Z,193607,Frans Verpoortenstraat 3,Spaarndam,2064LX,52.41261361874487,4.6894929669294925,27,POINT (4.689492966929492 52.41261361874487),Noord-Holland
27,True,2022-05-27T08:53:00Z,193606,Westhoff 95,Spaarndam,2064WC,52.413823848322096,4.692106920008882,28,POINT (4.692106920008882 52.4138238483221),Noord-Holland
28,True,2022-05-06T20:23:00Z,193301,Aaltje Noordewierlaan 12,Bussum,1403JC,52.26612194182354,5.183866416416777,29,POINT (5.183866416416777 52.26612194182354),Noord-Holland
29,True,2022-05-06T14:34:00Z,193264,Egel,,5509RM,51.43320684103659,5.399156716910397,30,POINT (5.399156716910397 51.43320684103659),Noord-Brabant
30,True,2022-05-01T12:27:00Z,193158,Middenweg,Kapelle,4421JG,51.47255496048646,3.969291790664556,31,POINT (3.969291790664556 51.47255496048646),Zeeland
31,True,2022-04-20T09:52:00Z,192968,de Kerentuin 20,West Maas en Waal,6658WK,51.88240934261455,5.519981244942699,32,POINT (5.519981244942699 51.88240934261455),Gelderland
32,True,2022-04-20T16:25:00Z,192954,Dekkersland A28,Staphorst,7951 DH,52.62403274801221,6.208360886758413,33,POINT (6.208360886758413 52.62403274801221),Overijssel
33,True,2022-04-20T09:43:00Z,192953,Paardeweide A32,Darp,7948 LH,52.75153539954195,6.189469149620919,34,POINT (6.189469149620919 52.75153539954195),Drenthe
34,True,2022-09-06T12:21:00Z,192908,Transistorstraat,Almere,1322CK,52.34557295256647,5.177930741459278,35,POINT (5.177930741459278 52.34557295256647),Flevoland
35,False,2022-04-11T06:54:00Z,192862,Rijksweg A32,Darp,7973KT,52.75347232356864,6.186789231245712,36,POINT (6.186789231245712 52.75347232356864),Drenthe
36,False,2022-04-06T22:19:00Z,192798,Zwaluwstraat 15,Maassluis,3145NG,51.93141936867795,4.238358198599883,37,POINT (4.238358198599883 51.93141936867795),Zuid-Holland
37,False,2022-04-06T21:49:00Z,192797,Rijksweg A4,Den Hoorn,2635BW,52.00917951726262,4.312016522762235,38,POINT (4.312016522762235 52.00917951726262),Zuid-Holland
38,False,2022-04-06T21:44:00Z,192796,Hogenhoorn 3,Den Hoorn,2635 BZ,52.01195360295989,4.315466804741391,39,POINT (4.315466804741391 52.01195360295989),Zuid-Holland
39,False,2022-04-02T04:10:00Z,192698,van Eerbeeklaan 2,Uithoorn,1422GG,52.24550215072222,4.829777348453177,40,POINT (4.829777348453177 52.24550215072222),Noord-Holland
40,False,2022-02-21T22:09:00Z,192044,Platanenlaan 12,Nederhorst den Berg,1394 JR,52.25009579068714,5.046898739448807,41,POINT (5.046898739448807 52.25009579068714),Noord-Holland
41,False,2022-02-22T08:20:00Z,192042,5 Goeseelsstraat,Breda,4817MV,51.59475608450231,4.797436275629025,42,POINT (4.797436275629025 51.59475608450231),Noord-Brabant
42,False,2022-02-07T08:54:00Z,191724,Lepellaan 1,Woerden,,52.0815342436093,4.8763468008691575,43,POINT (4.876346800869158 52.0815342436093),Utrecht
43,False,2021-12-29T14:57:00Z,191219,Martinetsingel,Zutphen,7201DZ,52.13912710797194,6.198663242153316,44,POINT (6.198663242153316 52.13912710797194),Gelderland
44,False,2021-12-29T14:58:00Z,191218,Zijlvest 45,Haarlem,2011VB,52.38162773568132,4.629299343716525,45,POINT (4.629299343716525 52.38162773568132),Noord-Holland
45,False,2021-12-29T15:01:00Z,191217,Johan de Wittstraat 3,Wassenaar,2242LB,52.142832881845806,4.396562071018252,46,POINT (4.396562071018252 52.14283288184581),Zuid-Holland
46,False,2021-12-29T15:03:00Z,191216,Koorstraat,Haarlem,2012GP,52.37612866380192,4.6232540415333006,47,POINT (4.623254041533301 52.37612866380192),Noord-Holland
47,True,2022-08-18T14:40:00Z,191215,Westerstraat,Haarlem,2013PN,52.38002741031801,4.617947970403748,48,POINT (4.617947970403748 52.38002741031801),Noord-Holland
48,False,2021-12-29T15:24:00Z,191214,Leidseplein 5,Haarlem,2013PV,52.37936273410284,4.624896923061669,49,POINT (4.624896923061669 52.37936273410284),Noord-Holland
49,False,2021-12-29T15:25:00Z,191213,Leidsevaart,Haarlem,2013HC,52.379180705342606,4.6255161386943655,50,POINT (4.625516138694366 52.37918070534261),Noord-Holland
50,False,2021-12-29T15:26:00Z,191212,Emmaplein 44,Haarlem,2014XK,52.37615398667208,4.620922324279832,51,POINT (4.620922324279832 52.37615398667208),Noord-Holland
51,False,2021-12-31T18:54:00Z,191211,Oranjeboomstraat 192,Haarlem,2013WD,52.3784293311314,4.621668786092414,52,POINT (4.621668786092414 52.3784293311314),Noord-Holland
52,False,2021-12-25T14:46:00Z,191159,Kloosterhof 1,Heumen,6581WL,51.78351485299547,5.853117655653705,53,POINT (5.853117655653705 51.78351485299547),Gelderland
53,False,2021-12-25T09:43:00Z,191145,Beelen 2,Tolbert,9356 CA,53.16617235219772,6.365452206876483,54,POINT (6.365452206876483 53.16617235219772),Groningen
54,False,2021-12-19T21:24:00Z,191101,1A Maliestraat,Utrecht,3581SH,52.09439885061656,5.13682600351558,55,POINT (5.13682600351558 52.09439885061656),Utrecht
55,False,2021-12-19T21:24:00Z,191100,Partou Kinderopvang,Utrecht,3581ET,52.09460183680176,5.137383584372742,56,POINT (5.137383584372742 52.09460183680176),Utrecht
56,False,2021-12-19T21:24:00Z,191099,2 Johan de Wittstraat,Utrecht,3581XX,52.08747062866928,5.1294540610476815,57,POINT (5.129454061047682 52.08747062866928),Utrecht
57,False,2021-12-19T21:25:00Z,191098,50 Maliesingel,Utrecht,3581BN,52.08681383473356,5.12965218031195,58,POINT (5.12965218031195 52.08681383473356),Utrecht
58,False,2021-12-19T21:25:00Z,191097,146-BS Frederik Hendrikstraat,Utrecht,3583VS,52.08753185131545,5.144907961435706,59,POINT (5.144907961435706 52.08753185131545),Utrecht
59,False,2021-12-19T21:25:00Z,191096,Frederik Hendrikstraat,Utrecht,3583VN,52.0893326912462,5.144997951445703,60,POINT (5.144997951445703 52.0893326912462),Utrecht
60,False,2021-12-19T21:25:00Z,191095,Dillenburgstraat,Utrecht,3583VC,52.08933791435135,5.144052165853964,61,POINT (5.144052165853964 52.08933791435135),Utrecht
